Time,Vehicle,Plate,Violation
1781652855,Car,Unknown,Overspeed
1781652886,Truck,Unknown,Overspeed
1781652904,Car,Unknown,Lane Change
1781653032,Truck,793aaary,Lane Change
1781653198,Car,Unknown,Lane Change
1781653201,Car,Unknown,Overspeed
1781653224,Car,Unknown,Overspeed
1781653229,Truck,Unknown,Overspeed
1781653280,Car,Unknown,Overspeed
1781653282,Car,Unknown,Overspeed
1781653283,Car,Unknown,Overspeed
1781653284,Car,Unknown,Overspeed
1781653298,Car,Unknown,Overspeed
1781653354,Truck,Unknown,Overspeed
1781653387,Car,Unknown,Overspeed
1781653397,Car,Unknown,Overspeed
1781653413,Car,Unknown,Overspeed
1781653446,CNG/Auto/Bike,Unknown,Overspeed
1781653484,Truck,Unknown,Overspeed
1781653525,Car,Unknown,Overspeed
1781653547,Car,Unknown,Overspeed
1781653584,Car,Unknown,Overspeed
1781653668,Car,Cor 35,Overspeed
1781653733,Car,Unknown,Lane Change
1781653806,Car,Unknown,Overspeed
1781653820,Truck,Unknown,Overspeed
1781653853,Car,Unknown,Overspeed
1781653863,Car,Unknown,Overspeed
1781653904,Car,Unknown,Overspeed
1781653908,Car,Unknown,Overspeed
1781653940,Truck,Unknown,Overspeed
1781653948,Car,Unknown,Overspeed
1781653994,Car,Unknown,Lane Change
1781654001,Car,Unknown,Overspeed
1781654050,Truck,Unknown,Overspeed
1781654063,Bus,Unknown,Lane Change
1781654064,Car,Unknown,Lane Change
1781654064,Car,Unknown,Overspeed
1781654067,Bus,Unknown,Overspeed
1781654079,Car,Unknown,Lane Change
1781654085,Car,Unknown,Overspeed
1781654102,Car,Unknown,Overspeed
1781654110,Car,Unknown,Lane Change
1781654156,Car,Unknown,Overspeed
1781654156,Truck,Unknown,Lane Change
1781654184,Car,Unknown,Overspeed
1781654200,Truck,Unknown,Overspeed
1781654245,Truck,Unknown,Overspeed
1781654274,Car,Unknown,Overspeed
1781654294,Car,Unknown,Overspeed
1781654308,Car,Unknown,Overspeed
1781654359,Car,Unknown,Overspeed
1781654368,Car,Unknown,Overspeed
1781654413,Car,Unknown,Overspeed
1781654415,CNG/Auto/Bike,Unknown,Overspeed
1781654455,Car,Unknown,Overspeed
1781654487,Truck,Unknown,Overspeed
1781654508,Car,Unknown,Overspeed
1781654555,Car,Unknown,Overspeed
1781654581,Bus,Unknown,Overspeed
1781654605,Car,Unknown,Overspeed
1781654619,Car,Unknown,Overspeed
1781654662,Car,Unknown,Overspeed
1781654688,Car,Unknown,Overspeed
1781654726,Car,Unknown,Overspeed
1781654746,Car,Unknown,Overspeed
1781654773,Car,Unknown,Overspeed
1781654785,Car,Unknown,Overspeed
1781654821,Car,Unknown,Overspeed
1781654840,Truck,Unknown,Overspeed
1781654849,Car,Unknown,Overspeed
1781654878,Car,Unknown,Overspeed
1781654880,Car,Unknown,Overspeed
1781654922,Truck,Unknown,Overspeed
1781654950,Car,Unknown,Overspeed
1781654950,Truck,Unknown,Overspeed
1781654959,Car,Unknown,Overspeed
1781654973,Car,Unknown,Overspeed
1781655009,Car,Unknown,Overspeed
1781655026,Car,Unknown,Overspeed
1781655030,Car,Unknown,Overspeed
1781655088,Truck,Unknown,Overspeed
1781655092,Car,Unknown,Overspeed
1781655098,Car,Unknown,Overspeed
1781655098,Car,Unknown,Overspeed
1781655099,Car,Unknown,Overspeed
1781655107,Car,Unknown,Overspeed
1781655109,Car,Unknown,Overspeed
1781655121,Car,Unknown,Overspeed
1781655123,Car,Unknown,Overspeed
1781655157,Car,Unknown,Overspeed
1781655178,Truck,Unknown,Overspeed
1781655213,Car,Unknown,Overspeed
1781655228,Car,Unknown,Overspeed
1781655255,Car,Unknown,Overspeed
1781655256,Car,Unknown,Overspeed
1781655266,Bus,Unknown,Overspeed
1781655328,Car,Unknown,Overspeed
1781655332,Car,Unknown,Lane Change
1781655350,Car,Unknown,Overspeed
1781655350,Car,Unknown,Overspeed
1781655394,Car,Unknown,Overspeed
1781655409,Car,Unknown,Overspeed
1781655420,CNG/Auto/Bike,Unknown,Overspeed
1781655469,Truck,Unknown,Overspeed
1781655473,Truck,Unknown,Overspeed
1781655475,Car,Unknown,Lane Change
1781655504,Bus,Unknown,Overspeed
1781655518,Car,Unknown,Overspeed
1781655538,Bus,Unknown,Overspeed
1781655544,Truck,Unknown,Overspeed
1781655579,Car,Unknown,Overspeed
1781655582,Car,Unknown,Overspeed
1781655622,Car,Unknown,Overspeed
1781655629,Car,Unknown,Overspeed
1781655706,Car,Unknown,Overspeed
1781655733,Bus,Unknown,Overspeed
1781655745,Car,Unknown,Overspeed
1781655784,Car,Unknown,Overspeed
1781655787,Car,Unknown,Overspeed
1781655819,Car,Unknown,Overspeed
1781655829,Car,Unknown,Overspeed
1781655859,Bus,Unknown,Overspeed
1781655866,Car,Unknown,Overspeed
1781655884,Car,Unknown,Overspeed
1781655964,Car,Unknown,Overspeed
1781655984,Car,Unknown,Overspeed
1781656005,Car,Unknown,Overspeed
1781656028,Car,Unknown,Overspeed
1781656060,Car,Unknown,Overspeed
1781656097,Car,Unknown,Overspeed
1781656104,Bus,Unknown,Overspeed
1781656123,Car,Unknown,Lane Change
1781656128,Truck,Unknown,Overspeed
1781656169,Car,Unknown,Overspeed
1781656223,Car,Unknown,Overspeed
1781656251,Car,Unknown,Lane Change
1781656279,Car,Unknown,Overspeed
1781656301,Car,Unknown,Overspeed
1781656340,Bus,Unknown,Overspeed
1781656380,Car,Unknown,Overspeed
1781656397,Car,Unknown,Overspeed
1781656417,Car,Unknown,Overspeed
1781656433,Truck,Unknown,Overspeed
1781656465,Car,Unknown,Overspeed
1781656479,Car,Unknown,Lane Change
1781656480,Car,Unknown,Overspeed
1781656537,Car,Unknown,Overspeed
1781656545,Car,Unknown,Overspeed
1781656566,Truck,Unknown,Overspeed
1781656591,Car,Unknown,Overspeed
1781656613,Car,Unknown,Overspeed
1781656635,Car,Unknown,Overspeed
1781656691,Bus,Wngrii145441,Overspeed
1781656752,Car,Unknown,Overspeed
1781656778,CNG/Auto/Bike,Unknown,Overspeed
1781656791,Car,Unknown,Overspeed
1781656810,Car,Unknown,Overspeed
1781656823,Car,Unknown,Overspeed
1781656859,CNG/Auto/Bike,Unknown,Overspeed
1781656965,Car,Unknown,Overspeed
1781657029,Bus,Unknown,Lane Change
1781657042,Car,Unknown,Overspeed
1781657091,Car,Unknown,Overspeed
1781657091,Car,Unknown,Overspeed
1781657100,Car,Unknown,Overspeed
1781657102,Car,Unknown,Overspeed
1781657111,Car,Unknown,Lane Change
1781657127,Car,Unknown,Overspeed
1781657168,Truck,Unknown,Overspeed
1781657174,Car,Unknown,Overspeed
1781657189,CNG/Auto/Bike,Unknown,Overspeed
1781657247,Car,Unknown,Overspeed
1781657249,Car,Unknown,Overspeed
1781657271,Car,Unknown,Overspeed
1781657272,Truck,Unknown,Overspeed
1781657330,Car,Unknown,Overspeed
1781657357,Truck,Unknown,Overspeed
1781657366,Car,Unknown,Overspeed
1781657366,Truck,Unknown,Overspeed
1781657393,Car,Unknown,Overspeed
1781657396,Car,Unknown,Overspeed
1781657419,Car,Unknown,Overspeed
1781657452,Car,Unknown,Overspeed
1781657459,Car,Unknown,Overspeed
1781657460,Car,Unknown,Overspeed
1781657485,Car,Unknown,Overspeed
1781657521,Car,Unknown,Overspeed
1781657551,Car,Unknown,Overspeed
1781657577,Car,Unknown,Overspeed
1781657594,Car,Unknown,Overspeed
1781657603,Car,Unknown,Lane Change
1781657631,Truck,Unknown,Overspeed
1781657653,Car,Unknown,Overspeed
1781657678,Car,Unknown,Overspeed
1781657681,Truck,Unknown,Lane Change
1781657724,Bus,Unknown,Overspeed
1781657773,Car,Unknown,Overspeed
1781657784,Truck,Unknown,Overspeed
1781657807,Car,Unknown,Overspeed
1781657826,Car,Unknown,Overspeed
1781657841,Car,Unknown,Overspeed
1781657923,Car,Unknown,Overspeed
1781657934,Car,Unknown,Overspeed
1781657938,Car,Unknown,Overspeed
1781657944,Car,Unknown,Overspeed
1781657961,Truck,Unknown,Overspeed
1781658016,Car,Unknown,Overspeed
1781658017,Car,Unknown,Overspeed
1781658029,Car,Unknown,Overspeed
1781658052,Car,Unknown,Overspeed
1781658067,Car,Unknown,Overspeed
1781658090,Car,Unknown,Overspeed
1781658116,Car,Unknown,Overspeed
1781658120,Car,G,Overspeed
1781658138,Car,Unknown,Overspeed
1781658143,Bus,Unknown,Overspeed
1781658153,Car,Unknown,Overspeed
1781658159,Truck,Unknown,Overspeed
1781658162,Car,Unknown,Overspeed
1781658197,Car,Unknown,Overspeed
1781658218,Car,Unknown,Overspeed
1781658220,Truck,Unknown,Overspeed
1781658249,CNG/Auto/Bike,Unknown,Overspeed
1781658251,Car,Unknown,Overspeed
1781658256,Car,Unknown,Overspeed
1781658265,Truck,2-,Overspeed
1781658270,Car,Unknown,Overspeed
1781658278,Car,Unknown,Overspeed
1781658296,Car,Unknown,Overspeed
1781658312,Car,Unknown,Overspeed
1781658330,Car,Me,Overspeed
1781658350,Car,Unknown,Overspeed
1781658378,Car,Unknown,Overspeed
1781658393,Car,Unknown,Overspeed
1781658406,Car,Unknown,Overspeed
1781658421,CNG/Auto/Bike,Unknown,Overspeed
1781658422,Car,Unknown,Overspeed
1781658433,Car,Unknown,Overspeed
1781658434,Car,Unknown,Overspeed
1781658443,Car,Unknown,Overspeed
1781658462,Car,Unknown,Overspeed
1781658462,Car,Unknown,Overspeed
1781658463,Car,Unknown,Overspeed
1781658470,Car,Unknown,Overspeed
1781658477,Car,Unknown,Overspeed
1781658487,Car,Unknown,Overspeed
1781658503,Car,Unknown,Lane Change
1781658507,Car,Unknown,Overspeed
1781658528,Car,Unknown,Overspeed
1781658545,Car,Unknown,Overspeed
1781658552,Car,Unknown,Overspeed
1781658562,Car,Unknown,Overspeed
1781658570,Car,Unknown,Overspeed
1781658594,Car,Unknown,Overspeed
1781658624,Car,Unknown,Overspeed
1781658629,Car,Unknown,Overspeed
1781658639,Car,Unknown,Overspeed
1781658644,Car,Unknown,Overspeed
1781658648,Car,Unknown,Overspeed
1781658687,Car,45,Overspeed
1781658704,Truck,Unknown,Overspeed
1781658714,Car,Unknown,Overspeed
1781658719,Car,Unknown,Overspeed
1781658737,Car,Unknown,Lane Change
1781658750,Car,Unknown,Overspeed
1781658756,Car,Unknown,Overspeed
1781658770,Car,Unknown,Overspeed
1781658775,Car,Unknown,Overspeed
1781658781,Bus,Unknown,Overspeed
1781658818,Car,Unknown,Overspeed
1781658823,Car,Unknown,Overspeed
1781658852,Car,Unknown,Overspeed
1781658866,Car,Unknown,Overspeed
1781658878,Car,Unknown,Overspeed
1781658904,Car,Unknown,Overspeed
1781658920,Car,Unknown,Overspeed
1781658940,Car,Unknown,Overspeed
1781658965,Car,Unknown,Overspeed
1781658980,Car,Unknown,Overspeed
1781658984,Car,Unknown,Overspeed
1781658989,Car,Unknown,Overspeed
1781659006,Car,Unknown,Lane Change
1781659017,Car,Unknown,Overspeed
1781659022,Car,Unknown,Overspeed
1781659025,Truck,Unknown,Overspeed
1781659067,Car,Unknown,Overspeed
1781659097,Car,Unknown,Lane Change
1781659097,Car,Unknown,Lane Change
1781659097,Car,74,Lane Change
1781659143,Car,350,Overspeed
1781659169,Car,Unknown,Overspeed
1781659192,Car,Unknown,Overspeed
1781659227,Car,Unknown,Overspeed
1781659305,Car,Unknown,Overspeed
1781659320,Car,Unknown,Lane Change
1781659321,Car,Unknown,Overspeed
1781659327,Car,Unknown,Overspeed
1781659340,Car,Unknown,Overspeed
1781659352,Car,Unknown,Overspeed
1781659356,CNG/Auto/Bike,Unknown,Overspeed
1781659366,Car,Unknown,Overspeed
1781659379,Car,Unknown,Overspeed
1781659406,Car,Unknown,Overspeed
1781659410,Car,Unknown,Overspeed
1781659421,Car,Unknown,Overspeed
1781659444,Car,Unknown,Overspeed
1781659461,Car,Unknown,Overspeed
1781659466,Car,Unknown,Overspeed
1781659478,Car,Unknown,Overspeed
1781659539,Car,Unknown,Overspeed
1781659557,Car,Unknown,Overspeed
1781659568,Car,Unknown,Overspeed
1781659592,Car,Unknown,Overspeed
1781659594,Bus,Unknown,Overspeed
1781659616,Car,Unknown,Overspeed
1781659627,Car,Unknown,Overspeed
1781659639,CNG/Auto/Bike,Unknown,Overspeed
1781659652,Car,Unknown,Overspeed
1781659655,Car,Unknown,Overspeed
1781659663,Car,Unknown,Overspeed
1781659696,Car,Unknown,Overspeed
1781659707,Car,Unknown,Overspeed
1781659729,Car,Unknown,Overspeed
1781659740,Bus,Unknown,Overspeed
1781659747,Car,Unknown,Overspeed
1781659796,Car,Unknown,Overspeed
1781659845,Car,Unknown,Overspeed
1781659864,Car,Unknown,Overspeed
1781659873,Truck,Unknown,Overspeed
1781659907,Car,Mom,Overspeed
1781659932,Car,Unknown,Overspeed
1781659944,Car,Unknown,Overspeed
1781659976,Car,Unknown,Overspeed
1781659978,Truck,Unknown,Overspeed
1781660017,Car,Unknown,Overspeed
1781660023,Truck,Unknown,Overspeed
1781660033,Car,Unknown,Overspeed
1781660038,Car,Unknown,Overspeed
1781660046,Car,Unknown,Overspeed
1781660063,Car,Unknown,Overspeed
1781660126,Car,Unknown,Overspeed
1781660147,Bus,Unknown,Overspeed
1781660157,Car,Unknown,Overspeed
1781660177,Car,Unknown,Overspeed
1781660202,Car,Unknown,Overspeed
1781660203,Car,Unknown,Overspeed
1781660220,Car,Unknown,Overspeed
1781660235,Car,Unknown,Overspeed
1781660270,Car,Unknown,Overspeed
1781660285,CNG/Auto/Bike,Unknown,Overspeed
1781660302,Truck,Unknown,Overspeed
1781660346,Bus,Unknown,Lane Change
1781660360,Car,Unknown,Overspeed
1781660376,Truck,Unknown,Overspeed
1781660425,Truck,Unknown,Overspeed
1781660433,Car,Unknown,Overspeed
1781660440,Car,Unknown,Overspeed
1781660483,Car,Unknown,Overspeed
1781660488,Car,Unknown,Overspeed
1781660496,Car,Unknown,Overspeed
1781660520,Car,Unknown,Overspeed
1781660546,Bus,Unknown,Overspeed
1781660567,Car,Unknown,Overspeed
1781660579,Car,Unknown,Overspeed
1781660586,Car,Unknown,Overspeed
1781660591,Truck,Unknown,Overspeed
1781660612,Car,Unknown,Overspeed
1781660619,Car,Unknown,Overspeed
1781660622,Car,Unknown,Overspeed
1781660634,Car,Unknown,Overspeed
1781660638,Car,Unknown,Overspeed
1781660661,Car,Unknown,Overspeed
1781660666,CNG/Auto/Bike,Unknown,Overspeed
1781660709,Car,Unknown,Overspeed
1781660731,Car,Unknown,Overspeed
1781660747,Car,Unknown,Overspeed
1781660772,Car,Unknown,Overspeed
1781660773,Car,Unknown,Overspeed
1781660788,Car,Unknown,Overspeed
1781660801,Car,Unknown,Overspeed
1781660814,Car,Unknown,Overspeed
1781660819,Car,Unknown,Overspeed
1781660835,Bus,3FR,Overspeed
1781660839,Car,Unknown,Overspeed
1781660855,Car,Fo,Overspeed
1781660884,Car,Unknown,Overspeed
1781660892,Car,Unknown,Overspeed
1781660906,Truck,Unknown,Overspeed
1781660925,Car,Unknown,Overspeed
1781660951,Car,Unknown,Overspeed
1781660966,Truck,Unknown,Overspeed
1781660974,Car,Unknown,Overspeed
1781661006,Car,Unknown,Lane Change
1781661028,Truck,Unknown,Overspeed
1781661037,Car,Unknown,Overspeed
1781661046,Bus,Unknown,Overspeed
1781661101,Car,Unknown,Overspeed
1781661106,Car,66,Overspeed
1781661134,Car,Unknown,Overspeed
1781661150,Car,Unknown,Overspeed
1781661156,Car,Unknown,Overspeed
1781661166,CNG/Auto/Bike,Unknown,Overspeed
1781661188,Car,Unknown,Overspeed
1781661193,Car,Unknown,Overspeed
1781661194,Truck,Unknown,Overspeed
1781661228,Car,Unknown,Overspeed
1781661233,Car,Unknown,Overspeed
1781661293,Truck,Unknown,Overspeed
1781661301,Car,Unknown,Overspeed
1781661315,Truck,Unknown,Overspeed
1781661325,Car,Unknown,Overspeed
1781661326,Car,Unknown,Overspeed
1781661337,Car,Unknown,Overspeed
1781661375,Truck,Unknown,Overspeed
1781661399,Car,Unknown,Overspeed
1781661403,Car,Unknown,Overspeed
1781661404,Car,Unknown,Overspeed
1781661410,Car,Unknown,Overspeed
1781661494,Car,Unknown,Overspeed
1781661511,Car,Unknown,Overspeed
1781661528,Car,Unknown,Overspeed
1781661551,Car,Unknown,Overspeed
1781661576,Car,Unknown,Overspeed
1781661591,Car,Unknown,Lane Change
1781661591,Car,Unknown,Lane Change
1781661596,Car,Unknown,Overspeed
1781661616,Car,Voi,Overspeed
1781661652,Car,Unknown,Overspeed
1781661712,Car,Unknown,Overspeed
1781661747,Car,Unknown,Overspeed
1781661752,Car,73,Overspeed
1781661760,Truck,Unknown,Overspeed
1781661770,Car,Unknown,Overspeed
1781661772,Car,Unknown,Overspeed
1781661780,Car,Unknown,Overspeed
1781661784,Car,Unknown,Overspeed
1781661797,Car,Unknown,Overspeed
1781661845,Car,Unknown,Overspeed
1781661862,Car,Unknown,Overspeed
1781661877,Car,Unknown,Lane Change
1781661893,Truck,Unknown,Overspeed
1781661894,Truck,FE,Overspeed
1781661903,CNG/Auto/Bike,Unknown,Overspeed
1781661963,Car,Unknown,Overspeed
1781661970,Car,Unknown,Overspeed
1781661975,Car,Unknown,Overspeed
1781661998,Car,Unknown,Overspeed
1781662005,Car,Unknown,Overspeed
1781662021,Car,Unknown,Overspeed
1781662044,Car,Unknown,Overspeed
1781662056,Car,Unknown,Overspeed
1781662068,Car,Unknown,Overspeed
1781662072,Car,Unknown,Overspeed
1781662076,Car,Unknown,Overspeed
1781662103,Car,Unknown,Overspeed
1781662109,Car,Unknown,Overspeed
1781662115,Car,Unknown,Overspeed
1781662120,Truck,Unknown,Overspeed
1781662147,Car,Unknown,Overspeed
1781662204,Truck,Unknown,Overspeed
1781662212,Bus,Unknown,Overspeed
1781662218,Bus,Unknown,Overspeed
1781662229,Car,Unknown,Overspeed
