Time,Vehicle,Speed,Plate,Violation,Image
1781652855,Car,51.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781652855.jpg
1781652886,Truck,40.1,Unknown,Overspeed,violation_images/Overspeed_Truck_1781652886.jpg
1781652904,Car,11.8,Unknown,Lane Change,violation_images/Lane Change_Car_1781652904.jpg
1781653032,Truck,6.7,793aaary,Lane Change,violation_images/Lane Change_Truck_1781653032.jpg
1781653198,Car,32.7,Unknown,Lane Change,violation_images/Lane Change_Car_1781653198.jpg
1781653201,Car,41.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781653201.jpg
1781653224,Car,40.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781653224.jpg
1781653229,Truck,40.2,Unknown,Overspeed,violation_images/Overspeed_Truck_1781653229.jpg
1781653280,Car,42.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781653280.jpg
1781653282,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781653282.jpg
1781653283,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781653283.jpg
1781653284,Car,43.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781653284.jpg
1781653298,Car,46.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781653298.jpg
1781653354,Truck,44.4,Unknown,Overspeed,violation_images/Overspeed_Truck_1781653354.jpg
1781653387,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781653387.jpg
1781653397,Car,45.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781653397.jpg
1781653413,Car,42.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781653413.jpg
1781653446,CNG/Auto/Bike,41.3,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781653446.jpg
1781653484,Truck,40.8,Unknown,Overspeed,violation_images/Overspeed_Truck_1781653484.jpg
1781653525,Car,40.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781653525.jpg
1781653547,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781653547.jpg
1781653584,Car,45.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781653584.jpg
1781653668,Car,40.5,Cor 35,Overspeed,violation_images/Overspeed_Car_1781653668.jpg
1781653733,Car,23.3,Unknown,Lane Change,violation_images/Lane Change_Car_1781653733.jpg
1781653806,Car,42.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781653806.jpg
1781653820,Truck,43.6,Unknown,Overspeed,violation_images/Overspeed_Truck_1781653820.jpg
1781653853,Car,44.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781653853.jpg
1781653863,Car,42.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781653863.jpg
1781653904,Car,49.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781653904.jpg
1781653908,Car,40.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781653908.jpg
1781653940,Truck,40.2,Unknown,Overspeed,violation_images/Overspeed_Truck_1781653940.jpg
1781653948,Car,43.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781653948.jpg
1781653994,Car,0.9,Unknown,Lane Change,violation_images/Lane Change_Car_1781653994.jpg
1781654001,Car,41.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781654001.jpg
1781654050,Truck,42.9,Unknown,Overspeed,violation_images/Overspeed_Truck_1781654050.jpg
1781654063,Bus,2.2,Unknown,Lane Change,violation_images/Lane Change_Bus_1781654063.jpg
1781654064,Car,27.1,Unknown,Lane Change,violation_images/Lane Change_Car_1781654064.jpg
1781654064,Car,41.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781654064.jpg
1781654067,Bus,44.6,Unknown,Overspeed,violation_images/Overspeed_Bus_1781654067.jpg
1781654079,Car,3.5,Unknown,Lane Change,violation_images/Lane Change_Car_1781654079.jpg
